protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMCA,2026_3_6_TMCA__B7F5SL_7,B7F5SL_7,2026-03-06,2026_3_6_TMCA,raw_data/TMCA/2026_3_6_TMCA/B7F5SL_7.xml,data/control_csv/tmca_raw/2026_3_6_TMCA/B7F5SL_7.csv,11772540
TMCA,2026_3_6_TMCA__B7F5SL_8,B7F5SL_8,2026-03-06,2026_3_6_TMCA,raw_data/TMCA/2026_3_6_TMCA/B7F5SL_8.xml,data/control_csv/tmca_raw/2026_3_6_TMCA/B7F5SL_8.csv,11793177
TMW,10_2025_TMW__B7F0PHSL2_18,B7F0PHSL2_18,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL2_18.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL2_18.csv,22592344
TMW,10_2025_TMW__B7F0PHSL3_23,B7F0PHSL3_23,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL3_23.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL3_23.csv,22502381
TMW,10_2025_TMW__B7F0PHSL4_19,B7F0PHSL4_19,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL4_19.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL4_19.csv,22474168
TMW,10_2025_TMW__B7F0PHSL5_20,B7F0PHSL5_20,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL5_20.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL5_20.csv,22400215
TMW,10_2025_TMW__B7F0PHSL6_22,B7F0PHSL6_22,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL6_22.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL6_22.csv,22867566
TMW,10_2025_TMW__B7F0PHSL6_24,B7F0PHSL6_24,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL6_24.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL6_24.csv,22478184
TMW,10_2025_TMW__B7F0PHSL7_21,B7F0PHSL7_21,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL7_21.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL7_21.csv,22884118
TMW,10_2025_TMW__B7F0PHSL8_25,B7F0PHSL8_25,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL8_25.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL8_25.csv,22486057
TMW,10_2025_TMW__B7F0PHSL9_3,B7F0PHSL9_3,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL9_3.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL9_3.csv,22859740
TMW,10_2025_TMW__B7F0SL10_13,B7F0SL10_13,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL10_13.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL10_13.csv,22916136
TMW,10_2025_TMW__B7F0SL11_14,B7F0SL11_14,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL11_14.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL11_14.csv,22417787
TMW,10_2025_TMW__B7F0SL11_17,B7F0SL11_17,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL11_17.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL11_17.csv,22419294
TMW,10_2025_TMW__B7F0SL12_2,B7F0SL12_2,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL12_2.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL12_2.csv,22858152
TMW,10_2025_TMW__B7F0SL1_4,B7F0SL1_4,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL1_4.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL1_4.csv,22793412
TMW,10_2025_TMW__B7F0SL1_6,B7F0SL1_6,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL1_6.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL1_6.csv,22843367
TMW,10_2025_TMW__B7F0SL3_16,B7F0SL3_16,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL3_16.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL3_16.csv,22927313
TMW,10_2025_TMW__B7F0SL3_9,B7F0SL3_9,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL3_9.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL3_9.csv,22436280
TMW,10_2025_TMW__B7F0SL5_7,B7F0SL5_7,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL5_7.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL5_7.csv,22536610
TMW,10_2025_TMW__B7F0SL6_12,B7F0SL6_12,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL6_12.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL6_12.csv,22879680
TMW,10_2025_TMW__B7F0SL7_15,B7F0SL7_15,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL7_15.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL7_15.csv,22892305
